symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	expressionAtlas	impc
ADCY3	0.4520073891346438	0.7427159663377045	No data	No data	No data	No data	No data	No data	No data	No data	0.016037329314201557	No data
CYLD	0.44859548872941624	0.7134155622254464	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4897990697509921
IKZF1	0.4468832276688394	0.7159911470732413	No data	No data	No data	No data	No data	No data	No data	No data	0.029496984900917796	0.3688468131809108
NKD1	0.4459220568266654	0.7330619625680387	No data	No data	No data	No data	No data	No data	No data	No data	0.008919213338179256	No data
TAGAP	0.44289168829556397	0.7253273349652255	No data	No data	No data	No data	No data	No data	No data	No data	0.06391724282684504	No data
NXPE1	0.4422585963823934	0.7252236498200101	No data	No data	No data	No data	No data	No data	No data	No data	0.04516318324049632	No data
JAZF1	0.4415080145355514	0.7262471588379875	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IPMK	0.43945718326637756	0.720636432998344	No data	No data	No data	No data	No data	No data	No data	No data	0.044745282556640335	No data
NFATC1	0.43924669733581584	0.701385420404512	No data	No data	No data	No data	No data	No data	No data	No data	0.10907343406249771	0.37436378516923624
ZNF831	0.4386790600283452	0.7209856620434961	No data	No data	No data	No data	No data	No data	No data	No data	0.012161628828552401	No data
JAK2	0.4376695982553519	0.7176973964754831	No data	No data	No data	No data	No data	No data	No data	No data	0.044717180888602215	No data
DLD	0.4355985766115121	0.7165265821748941	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CREM	0.43543921964274895	0.7162644520617476	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL18R1	0.4346933410974435	0.7124354827419214	No data	No data	No data	No data	No data	No data	No data	No data	0.05204111499340671	No data
FOSL2	0.4344399169059107	0.7146206749398051	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GNA12	0.4320883820455483	0.7107525786538448	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
BANK1	0.43081045572383847	0.6934706892938524	No data	No data	No data	No data	No data	No data	No data	No data	0.04512831288238044	0.28353892400606007
CCL2	0.4292389031082437	0.6930403055645228	No data	No data	No data	No data	No data	No data	No data	No data	0.2605019321446005	No data
PRDM1	0.42774387107598305	0.6965874423950028	No data	No data	No data	No data	No data	No data	No data	No data	0.1403749121220147	No data
TRIB1	0.4264868625259124	0.700192938522213	No data	No data	No data	No data	No data	No data	No data	No data	0.02691131725164667	No data
PLCG2	0.4257531418113326	0.6799077703531835	No data	No data	No data	No data	No data	No data	No data	No data	0.029665306168518497	0.3952918028770163
CD40	0.4251295118935257	0.6739388548320425	No data	No data	No data	No data	No data	No data	No data	No data	0.23059507935813942	0.40485151466945907
TNFSF8	0.42429499594400294	0.69471688184304	No data	No data	No data	No data	No data	No data	No data	No data	0.06432336899484949	No data
IL12RB2	0.4233974585079497	0.6938667006853173	No data	No data	No data	No data	No data	No data	No data	No data	0.05179937355918287	No data
IRF1	0.42218736047653915	0.6804854833615905	No data	No data	No data	No data	No data	No data	No data	No data	0.0493008017010412	0.25770186510756615
CARS1	0.42172951780624235	0.6937130335608789	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IFIH1	0.42067853498281843	0.6769114405446234	No data	No data	No data	No data	No data	No data	No data	No data	0.01637641925530662	0.2941777129642634
THEMIS	0.42006176445546833	0.6909697059365405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
DNMT3A	0.4190105310684916	0.6892405068383756	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ETS1	0.41813176795152784	0.66992713087436	No data	No data	No data	No data	No data	No data	No data	No data	0.057895418653305906	0.3316262500971393
SLC26A3	0.41757274973684544	0.669202533096241	No data	No data	No data	No data	No data	No data	No data	No data	0.18713839481398678	0.2702860326181267
IL17REL	0.4175117317273803	0.6834126632395731	No data	No data	No data	No data	No data	No data	No data	No data	0.06724864982314718	No data
SLC22A4	0.41740790290097235	0.658041519849241	No data	No data	No data	No data	No data	No data	No data	No data	0.02589274994979154	0.5597478180552902
DENND1B	0.4154775623292655	0.6834290415316234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TLR4	0.4152317233088785	0.6799657562108418	No data	No data	No data	No data	No data	No data	No data	No data	0.06117797599128673	No data
MAML2	0.4133630542145218	0.6799508362440299	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITGA4	0.41323023894727645	0.6793122187858052	No data	No data	No data	No data	No data	No data	No data	No data	0.008402928573624254	No data
PTPRC	0.41275920586273257	0.6531359870386931	No data	No data	No data	No data	No data	No data	No data	No data	0.16719424137315686	0.4421227386530316
SLC39A11	0.4124619083192412	0.6784685196730962	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNRC18	0.40949347633601274	0.668425384212593	No data	No data	No data	No data	No data	No data	No data	No data	0.10320580500680522	No data
ZFP90	0.40727869448452525	0.669942526492492	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZBTB40	0.4065039700429737	0.6686681636133696	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IFNG	0.4053032661330529	0.6439576122951366	No data	No data	No data	No data	No data	No data	No data	No data	0.2242073449049448	0.35506198234506725
RSPO3	0.4048006513623552	0.6601754212404828	No data	No data	No data	No data	No data	No data	No data	No data	0.11381824963080134	No data
SLC9A8	0.4022550581295735	0.6196014456768577	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8415516094405857
STAT4	0.40208380433113744	0.6603144762269921	No data	No data	No data	No data	No data	No data	No data	No data	0.02165700854599166	No data
HLX	0.4010692240398308	0.6597284191153208	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A23	0.4008384708609407	0.656513968984312	No data	No data	No data	No data	No data	No data	No data	No data	0.05669757347078227	No data
REL	0.4008272709595228	0.6370257181192989	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4460941310232625
ERRFI1	0.40047927318845866	0.6580221386149484	No data	No data	No data	No data	No data	No data	No data	No data	0.01471712293326547	No data
TNFSF18	0.3988489610894098	0.6560762551533308	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LNPEP	0.3978505119279729	0.6544338820981088	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLAU	0.39691102338324596	0.6378594778513228	No data	No data	No data	No data	No data	No data	No data	No data	0.30058033857979044	No data
C17orf67	0.39615776322602436	0.6516494390190629	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RORC	0.39214016838717514	0.6201174669754983	No data	No data	No data	No data	No data	No data	No data	No data	0.03255692508949958	0.483996927557687
DUSP5	0.39012281215513234	0.6408163913783236	No data	No data	No data	No data	No data	No data	No data	No data	0.01812022763351498	No data
ERAP1	0.3898364943810132	0.64125143176257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HHEX	0.38829892981979436	0.6387222548114113	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
THADA	0.38774455550821624	0.6378103511642264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ANKRD30A	0.3876896071583207	0.6377199653010468	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CEBPB	0.3875519551681328	0.6267948981132592	No data	No data	No data	No data	No data	No data	No data	No data	0.2139728023254208	No data
IL18RAP	0.38729156634459	0.6336061923390742	No data	No data	No data	No data	No data	No data	No data	No data	0.06918052095718329	No data
RNASET2	0.3867177980141811	0.6361214130514198	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFAIP3	0.38661916764202064	0.6133250521627757	No data	No data	No data	No data	No data	No data	No data	No data	0.0393436077362156	0.435196380432243
DAP	0.3838342049314157	0.6313781213904377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLCL1	0.38377957480796415	0.6312882589855946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
C7orf33	0.3832734267035478	0.6304556837872253	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LITAF	0.38267499360757484	0.6223949923010316	No data	No data	No data	No data	No data	No data	No data	No data	0.14152628968398537	No data
CPEB4	0.3824423678273583	0.6264384842631217	No data	No data	No data	No data	No data	No data	No data	No data	0.05300341555300176	No data
HORMAD2	0.378985517395235	0.6234023985693046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ASAP2	0.3780337880295615	0.6218368760305344	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CEP43	0.3778393580394714	0.6215170534605083	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
OLIG3	0.3777863941616328	0.6214299319031754	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HDAC7	0.37685886215332	0.6125330512588423	No data	No data	No data	No data	No data	No data	No data	No data	0.1474232184208181	No data
SMURF1	0.37529287690963287	0.6173282853641348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
OSGIN2	0.37479110254411657	0.6165029046341444	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CDKN2A	0.3730110302370558	0.613574820855441	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDGFB	0.3728434763506913	0.6064568507883229	No data	No data	No data	No data	No data	No data	No data	No data	0.13684713293869796	No data
RNF186	0.37198981716024887	0.5814691285911283	No data	No data	No data	No data	No data	No data	No data	No data	0.10104925706275508	0.5636067050200558
FOS	0.37105689259065344	0.5939229812595999	No data	No data	No data	No data	No data	No data	No data	No data	0.17079797767088106	0.25283841872667323
IFNGR2	0.37070505267588394	0.6097816628673421	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CIITA	0.37027119857606755	0.5515792606166858	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	0.24804433050833957	0.25891772670278945
STAT3	0.3685846553892791	0.6062937703392202	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data
FUT2	0.36611396583495553	0.6010038103060668	No data	No data	No data	No data	No data	No data	No data	No data	0.02451726646824913	No data
BTRC	0.36541753513926056	0.6010840980172039	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC39A8	0.3640762736624345	0.5918972438724261	No data	0	No data	No data	No data	No data	No data	No data	0.13961161723086052	No data
TUBD1	0.3640544375783994	0.598841906033813	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SOX4	0.3632715334559794	0.5975540882007705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PITX1	0.36109544077473316	0.5911912111037578	No data	No data	No data	No data	No data	No data	No data	No data	0.0556673974765929	No data
SP140	0.36045522033065236	0.5841427507974839	No data	No data	No data	No data	No data	No data	No data	No data	0.17557432327029585	No data
EGR2	0.35890373655340546	0.5881439755622591	No data	No data	No data	No data	No data	No data	No data	No data	0.044508367882880887	No data
ADGRL2	0.3586980130918879	0.5848857991584306	No data	No data	No data	No data	No data	No data	No data	No data	0.10290390649993043	No data
PARK7	0.3569535468631758	0.5871614799999275	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A5	0.3566102004204445	0.5787389793275252	No data	No data	No data	No data	No data	No data	No data	No data	0.1571544369093938	No data
RIPK2	0.35527114973606605	0.5804419020963275	No data	No data	No data	No data	No data	No data	No data	No data	0.07904324758273339	No data
PLA2G4A	0.35473510031527894	0.5823481863817406	No data	No data	No data	No data	No data	No data	No data	No data	0.023282350008480408	No data
CEP72	0.35283765021616853	0.5803911425483994	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL19	0.3500923970478184	0.49042220578852846	No data	0.3140376732341166	No data	No data	No data	No data	No data	No data	0.05294670957391542	0.2826878208894038
TMEM174	0.3499509684617229	0.5756427702570358	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD28	0.34970536455684104	0.5558604848518518	No data	No data	No data	No data	No data	No data	No data	No data	0.018282836909476897	0.3794400073292933
RPS6KB1	0.3491313329337197	0.5742945320509384	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF14	0.3490306376253403	0.5741288959147615	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL1RL1	0.34819930430033524	0.5711596430497307	No data	No data	No data	No data	No data	No data	No data	No data	0.032035453422308534	No data
UBASH3A	0.347144672558351	0.5710266265867414	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
B3GNT2	0.3468724940400784	0.5705789135915421	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZFP36L1	0.3449878335753422	0.5674787902351659	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AKAP11	0.34496642873925243	0.5674435809051338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CARD9	0.343417018117749	0.564894918084315	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GPR18	0.3432111277211362	0.5645562440157834	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADAM30	0.3430843359920571	0.5643476812491376	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITLN1	0.34205888070814444	0.5618672243982602	No data	No data	No data	No data	No data	No data	No data	No data	0.015873215496829095	No data
CXCR2	0.3414620548030952	0.5347927110573205	No data	No data	No data	No data	No data	No data	No data	No data	0.42400522854313333	0.25587807271473134
CACNA1S	0.3414556193264151	0.5616685660076648	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCDC122	0.34055678976000464	0.5601900596218365	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RUNX3	0.3402684360443123	0.5439042195227334	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31623040264762503
PPP5C	0.34002677579729346	0.5593182268987807	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHEK2	0.3400134663099256	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	No data	No data
PITX2	0.3387503437165917	0.5425010589124349	No data	No data	No data	No data	No data	No data	No data	No data	0.2943506827407688	No data
PKHD1	0.3371452821065851	0.5495941078497159	No data	No data	No data	No data	No data	No data	No data	No data	0.09968561457206773	No data
TSPAN14	0.33652905448847387	0.5535647409386006	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PEX13	0.33589526229448463	0.5525222009052955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FERMT1	0.3354607688278676	0.5288741420874886	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45866700115316733
IL37	0.33506321869687783	No data	No data	0.547137717850459	No data	No data	No data	No data	No data	No data	0.08031669032849119	No data
KIF21B	0.3345540148930882	0.5503159507750738	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCL20	0.33409301484976	0.5318889906417947	No data	No data	No data	No data	No data	No data	No data	No data	0.3533730013433457	No data
NFKBIA	0.33260585967448103	0.5257848393054373	No data	No data	No data	No data	No data	No data	No data	No data	0.00965822806974123	0.4222383354811514
DNMT3B	0.33174963184431117	0.5457029536053389	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLAIN2	0.3312343567139144	0.5448553651422752	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPMIP7	0.33059126971674463	0.5404718328964933	No data	No data	No data	No data	No data	No data	No data	No data	0.06651405934056139	No data
TSHR	0.33022667839888126	0.5361171473240066	No data	No data	No data	No data	No data	No data	No data	No data	0.1416132701235827	No data
PTGIS	0.33008612223889633	0.5414353590764132	No data	No data	No data	No data	No data	No data	No data	No data	0.030624950869250756	No data
SEMA6D	0.3300594087261173	0.5419780490896507	No data	No data	No data	No data	No data	No data	No data	No data	0.01889231660286564	No data
LGI2	0.3299741413058398	0.5395032460214552	No data	No data	No data	No data	No data	No data	No data	No data	0.06558320933204291	No data
CACNB2	0.3295094067504567	0.5420179534331884	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC7A10	0.32737784860960356	0.5385117021473061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LSP1	0.32725073623544776	0.5383026119438568	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NDFIP1	0.32715080036404853	0.5381382250238457	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZPBP2	0.32630936851292075	0.5367541335212709	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADO	0.3262202772569071	0.5366075851701039	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
BASP1	0.32563391291793975	0.5329391490986914	No data	No data	No data	No data	No data	No data	No data	No data	0.05407822516548096	No data
CDYL2	0.3254551390843883	0.535348990975625	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
EDNRB	0.32527375362331823	0.5127336549546688	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44633941421313206
IL1R1	0.3251742921843678	0.5300350167635463	No data	No data	No data	No data	No data	No data	No data	No data	0.09704004774242693	No data
TMEM17	0.3251590147100164	0.5348618888654256	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RGS14	0.32510568945923285	0.5343159739229519	No data	No data	No data	No data	No data	No data	No data	No data	0.009163979081727655	No data
ZBTB7C	0.3241322793943184	0.5255495350322498	No data	No data	No data	No data	No data	No data	No data	No data	0.15246904404099457	No data
TRAF3IP2	0.3240497806833261	0.513863082436305	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3834840136559057
GCKR	0.323165896736287	0.525622616276798	No data	No data	No data	No data	No data	No data	No data	No data	0.11921489730945167	No data
SOX14	0.3231209182771675	0.5146748540610612	No data	No data	No data	No data	No data	No data	No data	No data	0.33669041862623444	No data
FAP	0.32298280673475405	0.5116833229548943	No data	No data	No data	No data	No data	No data	No data	No data	0.39197738074892585	No data
OSER1	0.32282166043853405	0.5310171185713969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SBNO2	0.32278191686013	0.5309517434027754	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LRRC32	0.32257175491148604	0.5288945506626235	No data	No data	No data	No data	No data	No data	No data	No data	0.03422984585762444	No data
ZNF423	0.3222938478554923	0.5301489069507398	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AHR	0.32184055818616236	0.5285887794786431	No data	No data	No data	No data	No data	No data	No data	No data	0.01629000771478879	No data
IL27	0.3215599342456532	0.5170551129609982	No data	No data	No data	No data	No data	No data	No data	No data	0.23773123659786136	No data
FHL1	0.32005745890845166	0.5246169419883185	No data	No data	No data	No data	No data	No data	No data	No data	0.03706549920977647	No data
PTPN22	0.319808627278849	0.5010666943041633	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4998842701701037
OTUD3	0.31874884879125426	0.5243176526728428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TG	0.31826173891093273	0.4956240856301837	No data	No data	No data	No data	No data	No data	No data	No data	0.10723899269868996	0.5101843910131376
CNTNAP2	0.3181070612883688	0.5232619609635121	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MFHAS1	0.31789161522404474	0.5229075685471869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CSMD3	0.31762753915724384	0.519230824910337	No data	No data	No data	No data	No data	No data	No data	No data	0.0648471711815447	No data
ZEB2	0.3175063996085303	0.5222739181102821	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HHAT	0.3173829290389006	0.5220708183987446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IFNLR1	0.31674179543957925	0.5210162023111239	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FOXO1	0.3166544261312395	0.5208724864331276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GREB1	0.31603716307216	0.5161995804569424	No data	No data	No data	No data	No data	No data	No data	No data	0.07315110229396238	No data
SLIT3	0.3152628770927964	0.5178532237002436	No data	No data	No data	No data	No data	No data	No data	No data	0.014605404585595163	No data
SKAP2	0.3151681036386867	0.5184275987939553	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ERAP2	0.31495680165859996	0.5120470843627687	No data	No data	No data	No data	No data	No data	No data	No data	0.12065877437517318	No data
UBE3D	0.3132091998631302	0.5152053508288046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ANTXR2	0.3131173898489204	0.5150543303268486	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NTM	0.3128865238177469	0.514674573235942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZC3H12C	0.31279316546077307	0.49999145976479187	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29059092125835484
PLA2G2E	0.31271983332528114	0.5144003800331619	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GRIK2	0.31133463554864865	0.5105258984569948	No data	No data	No data	No data	No data	No data	No data	No data	0.031918728319409756	No data
SBSPON	0.31021123336418854	0.5095476486840217	No data	No data	No data	No data	No data	No data	No data	No data	0.014525497978381985	No data
PDK1	0.30967589071105117	0.5086544436277641	No data	No data	No data	No data	No data	No data	No data	No data	0.014777638819877002	No data
CCDC178	0.30948653978925383	0.5074946540036003	No data	No data	No data	No data	No data	No data	No data	No data	0.03174407353607721	No data
SLC4A4	0.3089674280592099	0.5032262933706645	No data	No data	No data	No data	No data	No data	No data	No data	0.10003329863162244	No data
SIRPG	0.30862648078241733	0.5076671259211062	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMPRSS2	0.3076498889984901	0.5060607065921892	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CDC37	0.3070017204466072	0.5049945185417903	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
